,Community,Facility Name,Colour Posting,Last Inspection Date,Site Address,url,category,Risk Rating,Type,Offense,Outcome,Offense Date,Comment,Resolved Date
0,Petrolia,21 Shell & Variety,,2023-07-07,4496 Petrolia Line  Petrolia ON N0N 1R0,location.href = '/Facility/Details/1f70b01b-fc96-4e40-a210-cda612fd6884' ,DineSafe Lambton,,,,,,,
1,Courtright,3 Sisters Cookie Creations,,2023-12-13,113 Templeton Cres  Courtright ON N0N 1H0,location.href = '/Facility/Details/aae515d7-cea5-49fa-8b49-a67a2928a390' ,DineSafe Lambton,,,,,,,
2,Petrolia,4 Every Occasion Inc,,2024-01-12,B-4159 Petrolia Line  Petrolia ON N0N 1R0,location.href = '/Facility/Details/f48e97aa-2c9c-483c-9686-050180ddfba5' ,DineSafe Lambton,,,,,,,
3,Sarnia (Central),7-Eleven,,2024-04-15,366 Christina Street N  Sarnia ON N7T 5V7,location.href = '/Facility/Details/ccb1b35e-f413-4a93-95c1-70b4d345ec6e' ,DineSafe Lambton,,,,,,,
4,Sarnia (Central),A & W Restaurant,,2023-11-23,FC1-1380 London Road  Sarnia ON N7S 1P8,location.href = '/Facility/Details/d2b98c2f-27aa-492d-80d9-9f10528b90a9' ,DineSafe Lambton,,,,,,,
5,Sarnia (Central),A & W Restaurant,,2023-06-23,1219 Confederation St  Sarnia ON N7S 4M7,location.href = '/Facility/Details/874a454f-5807-4ef2-ae84-1dc72ce7a5ff' ,DineSafe Lambton,,,,,,,
6,Sarnia (Central),A & W Restaurant,,2024-01-30,1380 Exmouth St  Sarnia ON N7S 1H7,location.href = '/Facility/Details/6956d13f-880c-43f6-a07e-f34e213c6260' ,DineSafe Lambton,,,,,,,
7,Sarnia (Central),A + B Kitchen,,2023-11-30,711 Talfourd St  Sarnia ON N7T 1S1,location.href = '/Facility/Details/66780b98-7d14-477f-ba5e-fae92029e7d8' ,DineSafe Lambton,,,,,,,
8,Petrolia,A Little Piece of Cake,,2023-11-29,3356 Rokeby Line  Petrolia ON N0N 1R0,location.href = '/Facility/Details/a46055cf-20c9-48af-a9eb-9787628d3345' ,DineSafe Lambton,,,,,,,
9,Sarnia (Central),A Taste of Britain,,2023-07-10,515 Murphy Road  Sarnia ON N7S 5V4,location.href = '/Facility/Details/d137136f-90e0-44fe-9662-02217ce92a70' ,DineSafe Lambton,,,,,,,
10,Corunna,A Taste of Heaven,,2024-01-30,551 Murray Dr  Corunna ON N0N 1G0,location.href = '/Facility/Details/ea1d9414-faca-4ca2-8ea2-d5c4c89b0a7e' ,DineSafe Lambton,,,,,,,
11,Petrolia,Actor's Casual Dining,,2024-03-26,4211 Petrolia Line  Petrolia ON N0N 1R0,location.href = '/Facility/Details/a4acb49c-8d66-411e-b98c-7df6e635af3d' ,DineSafe Lambton,,,,,,,
